OBJECTID,ORIGID,CountyName,PopulationCensus16,TimeStamp,IGEasting,IGNorthing,Lat,Long,UGI,ConfirmedCovidCases,PopulationProportionCovidCases,ConfirmedCovidDeaths,ConfirmedCovidRecovered,SHAPE_Length,SHAPE_Area,Date,Cases,CasesSum7,CasesSum14,CasesMean7,CasesMean14,CasesMedian7,CasesMedian14,Rate,MeanRate7,MeanRate14,MedianRate7,MedianRate14
574,2,Cavan,76176,2020/03/22 00:00:00,246380,304501,53.9878,-7.2937,http://data.geohive.ie/resource/county/2ae19629-1448-13a3-e055-000000000001,5,6.56374711195127,NA,NA,515954.496459225,5575009910.82163,2020-03-22,2,0,0,0,0,0,0,2.625498844780508,0,0,0,0
575,3,Clare,118817,2020/03/22 00:00:00,133493,182732,52.8917,-8.9889,http://data.geohive.ie/resource/county/2ae19629-1450-13a3-e055-000000000001,11,9.25793447065656,NA,NA,1013948.95023179,8722541705.68269,2020-03-22,2,0,0,0,0,0,0,1.6832608128466464,0,0,0,0
576,4,Cork,542868,2020/03/22 00:00:00,156242,77860,51.9517,-8.6372,http://data.geohive.ie/resource/county/2ae19629-1451-13a3-e055-000000000001,123,22.6574415880103,NA,NA,2129949.40863365,19529490885.5341,2020-03-22,19,0,0,0,0,0,0,3.499930001399972,0,0,0,0
577,5,Donegal,159192,2020/03/22 00:00:00,202615,405691,54.8989,-7.96,http://data.geohive.ie/resource/county/2ae19629-1452-13a3-e055-000000000001,11,6.90989496959646,NA,NA,2145085.77438756,14624041936.8887,2020-03-22,3,0,0,0,0,0,0,1.8845168098899443,0,0,0,0
578,6,Dublin,1347359,2020/03/22 00:00:00,313762,235813,53.3605,-6.292,http://data.geohive.ie/resource/county/2ae19629-144f-13a3-e055-000000000001,535,39.7073088909489,NA,NA,449433.53182733,2612632654.59451,2020-03-22,64,0,0,0,0,0,0,4.750033213122857,0,0,0,0
579,7,Galway,258058,2020/03/22 00:00:00,151045,235818,53.3705,-8.7362,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,35,13.5628424617722,NA,NA,1972288.28611619,17079158586.253,2020-03-22,2,0,0,0,0,0,0,0.7750195692441234,0,0,0,0
580,8,Kerry,147707,2020/03/22 00:00:00,92975,102996,52.1689,-9.565,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,15,10.1552397652109,NA,NA,1753779.81860439,12483603408.0519,2020-03-22,3,0,0,0,0,0,0,2.0310479530421715,0,0,0,0
581,9,Kildare,222504,2020/03/22 00:00:00,281262,221513,53.238,-6.7837,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,25,11.2357530651134,NA,NA,422182.036778848,4726063621.61779,2020-03-22,2,0,0,0,0,0,0,0.8988602452090749,0,0,0,0
582,10,Kilkenny,99232,2020/03/22 00:00:00,253094,148060,52.5816,-7.2175,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,16,16.1238310222509,NA,NA,453397.572162214,5585391835.07863,2020-03-22,1,0,0,0,0,0,0,1.0077394388906804,0,0,0,0
583,11,Laois,84697,2020/03/22 00:00:00,244211,193996,52.9952,-7.3423,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,8,9.44543490324333,NA,NA,398512.462211564,4731211499.45007,2020-03-22,2,0,0,0,0,0,0,2.3613587258108315,0,0,0,0
584,12,Leitrim,32044,2020/03/22 00:00:00,200446,319670,54.1261,-7.9939,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,3,9.3621270752715,NA,NA,453253.685043119,4618679672.90058,2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0
585,13,Limerick,194899,2020/03/22 00:00:00,149743,141780,52.5255,-8.7412,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,19,9.74863903868157,NA,NA,673892.690484704,7206726911.85935,2020-03-22,1,0,0,0,0,0,0,0.513086265193767,0,0,0,0
